k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.6834260882823816,"0,1,2,4,5,6,7,8",8,0.6817107570328581,0.0017153312495234996
2,0.688495845086529,"0,1,2,3,4,6,7,8",8,0.6863230921704658,0.0021727529160631143
3,0.6904398871693223,"0,1,2,3,4,5,6,7,8",9,0.6904398871693223,0.0
4,0.6905542425859571,"0,1,2,3,4,5,6,7,8",9,0.6905542425859571,0.0
5,0.6905161241137455,"0,1,2,3,4,5,6,7,8",9,0.6905161241137455,0.0
6,0.6912403750857665,"0,1,2,3,4,5,6,7,8",9,0.6912403750857665,0.0
7,0.6914690859190363,"0,1,2,3,4,5,6,7,8",9,0.6914690859190363,0.0
8,0.6914690859190363,"0,1,2,3,4,5,6,7,8",9,0.6914690859190363,0.0
9,0.6914690859190363,"0,1,2,3,4,5,6,7,8",9,0.6914690859190363,0.0
