,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3,noise_0.1_std,noise_0.2_std,noise_0.3_std,bootstrap_mean,bootstrap_std
1,1,9,0.00099945068359375,0.76,0.7566666666666666,0.7446666666666666,0.7553333333333333,0.004714045207910316,0.009797958971132698,0.012400716825158852,0.7570833333333333,0.026289652590578933
2,2,37,0.0020029544830322266,0.76,0.7693333333333333,0.7573333333333334,0.752,0.0053333333333333175,0.012364824660660939,0.01326649916142161,0.765,0.025685058345704077
3,3,93,0.004002571105957031,0.7566666666666667,0.7593333333333334,0.7553333333333334,0.7653333333333334,0.009285592184789413,0.006182412330330492,0.014391355429948603,0.7619166666666666,0.028674538647843428
4,4,163,0.008033514022827148,0.7666666666666667,0.772,0.76,0.7606666666666667,0.005416025603090618,0.009428090415820631,0.015114378731672843,0.7668333333333333,0.029732137494637007
5,5,219,0.002624988555908203,0.7633333333333333,0.7626666666666667,0.7659999999999999,0.7666666666666667,0.012183777921664708,0.010198039027185577,0.018012341448141723,0.7572500000000001,0.024063140323370563
6,6,247,0.026151418685913086,0.7633333333333333,0.766,0.7686666666666667,0.764,0.008,0.012036980056845182,0.01372750685464934,0.7632499999999999,0.026896018912347112
7,7,255,0.029192209243774414,0.7633333333333333,0.762,0.7606666666666666,0.7473333333333334,0.0033993463423951857,0.008273115763993899,0.012000000000000021,0.7656666666666669,0.033077770313140645
8,8,256,0.03121662139892578,0.7633333333333333,0.766,0.7633333333333333,0.756,0.004422166387140531,0.007888106377466158,0.021949436844205764,0.7540833333333333,0.026751038401444445
