,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,8,0.001998424530029297,0.8555555555555555,0.8548148148148147,0.8585185185185186,0.8459259259259261,0.8340740740740742,0.8536111111111111,0.027698807499599385
2,2,29,0.006000041961669922,0.8481481481481481,0.8503703703703703,0.8548148148148147,0.825925925925926,0.8111111111111111,0.8490740740740741,0.02517088373901517
3,3,64,0.01527857780456543,0.8481481481481481,0.8525925925925927,0.8540740740740741,0.8303703703703704,0.802962962962963,0.8516666666666667,0.02463659049505127
4,4,99,0.024341821670532227,0.8518518518518519,0.8481481481481481,0.8407407407407408,0.834074074074074,0.8022222222222222,0.85,0.02783943773772761
5,5,120,0.02944016456604004,0.8518518518518519,0.8496296296296297,0.8444444444444444,0.8362962962962964,0.7814814814814814,0.8551851851851852,0.022756690027661952
6,6,127,0.0326540470123291,0.8518518518518519,0.8525925925925926,0.8518518518518519,0.8311111111111111,0.8022222222222222,0.8523148148148149,0.02066806878291641
7,7,128,0.03186678886413574,0.8481481481481481,0.8585185185185186,0.8437037037037036,0.8155555555555555,0.7977777777777778,0.8533333333333334,0.023596400646216997
