,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3
1,1,16,0.005510568618774414,0.4866666666666667,0.4946666666666667,0.4960000000000001,0.49799999999999994
2,2,121,0.005005359649658203,0.49,0.4953333333333333,0.5053333333333333,0.4953333333333333
3,3,576,0.011067390441894531,0.49666666666666665,0.49400000000000005,0.488,0.504
4,4,1941,0.016127824783325195,0.49666666666666665,0.4926666666666666,0.49733333333333335,0.502
5,5,4944,0.03190040588378906,0.49333333333333335,0.5026666666666667,0.502,0.49066666666666664
6,6,9949,0.05663299560546875,0.49333333333333335,0.49800000000000005,0.49800000000000005,0.4926666666666667
7,7,16384,0.09600234031677246,0.49333333333333335,0.49866666666666665,0.502,0.4953333333333333
8,8,22819,0.13435983657836914,0.49333333333333335,0.49866666666666665,0.4906666666666667,0.5126666666666667
9,9,27824,0.1621856689453125,0.49333333333333335,0.49466666666666664,0.49400000000000005,0.5026666666666666
10,10,30827,0.17963767051696777,0.49333333333333335,0.4966666666666667,0.4973333333333333,0.48933333333333334
11,11,32192,0.19230222702026367,0.49666666666666665,0.4913333333333333,0.492,0.4953333333333333
12,12,32647,0.2665693759918213,0.5066666666666667,0.4993333333333333,0.5093333333333334,0.5053333333333334
13,13,32752,0.2629892826080322,0.5266666666666666,0.5153333333333334,0.5146666666666666,0.5073333333333333
14,14,32767,0.2632637023925781,0.5066666666666667,0.514,0.5133333333333333,0.5199999999999999
15,15,32768,0.27449560165405273,0.49,0.49800000000000005,0.4886666666666667,0.49666666666666676
