,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3
1,1,5,3.832045555114746,1.0,0.9983453342373346,0.9861035539268274,0.9562182991615101
2,2,11,12.823782444000244,1.0,0.9990473656656853,0.9895364704468799,0.9662372660252835
3,3,15,36.46766757965088,1.0,0.999934774586119,0.9958307228863962,0.9851062916777522
4,4,16,34.206088066101074,1.0,0.999941640419159,0.9962426728688026,0.986082956427707
