,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,6,0.0020012855529785156,1.0,1.0,1.0,1.0,1.0
2,2,16,0.010166406631469727,1.0,1.0,1.0,1.0,0.999562363238512
3,3,26,0.016930818557739258,1.0,1.0,1.0,1.0,1.0
4,4,31,0.0193939208984375,1.0,1.0,1.0,1.0,0.999562363238512
5,5,32,0.01999950408935547,1.0,1.0,1.0,1.0,0.999562363238512
