noise_level,phi_correlation,order2_correlation,order3_correlation
0.05,0.9996101708085932,0.9955003503085084,0.9987794462546349
0.05,0.9996713260143048,0.9967883190265949,0.9971817226075292
0.05,0.9984308636940232,0.9922761984887972,0.9973992918704317
0.05,0.99824493480983,0.9937873204761816,0.9977685408455449
0.05,0.9993233229675039,0.9896583208455103,0.9959780712338441
0.05,0.998908408149811,0.994169085352308,0.9961656267743376
0.05,0.9988557571522156,0.9888395745871761,0.9977978833998034
0.05,0.9993233574764006,0.9923010212829677,0.9973903956811504
0.05,0.9982651666211345,0.9894928043310719,0.9976723373899862
0.05,0.9986250599762396,0.9857670612131737,0.9968270184828554
0.1,0.9940404857356983,0.9726856217668474,0.9917434821199251
0.1,0.9959984656536346,0.9669452811928994,0.9828835793719994
0.1,0.9985346734311332,0.9863770873886347,0.9922684325557519
0.1,0.990470621933793,0.9650459587420996,0.989462111816814
0.1,0.9977127491274311,0.973514007977889,0.9932391915588417
0.1,0.9957311225470438,0.9669738004532801,0.9888963686285045
0.1,0.9984505888417179,0.9845632723624732,0.9913096872830156
0.1,0.9976319852803769,0.9569537324804726,0.9865116876803018
0.1,0.9968947024496968,0.9767605249591168,0.991739667061774
0.1,0.993734980397394,0.9727323289466712,0.992611867277675
0.2,0.9903855084201328,0.9300839663024357,0.967751893743018
0.2,0.992652217968058,0.8763740916730255,0.9707067003503553
0.2,0.9876344860749164,0.8616013202631222,0.9634545556317994
0.2,0.9758119840251411,0.7256094920307967,0.9284502268383964
0.2,0.989406387559149,0.9535322679397331,0.97311194155517
0.2,0.996202238897311,0.9378782075519966,0.9819419444234503
0.2,0.9856142705183912,0.8816378053014449,0.9671723001062842
0.2,0.9944943561306446,0.9196862665534757,0.98223815965381
0.2,0.9749783174937042,0.8470725126953673,0.9685404292347775
0.2,0.9767011775832557,0.9443514869693345,0.9645413410543288
0.3,0.9821773238826587,0.8802669644018418,0.9580060925188697
0.3,0.9512885916504876,0.7218448806853628,0.9152615484750901
0.3,0.9910908267774189,0.8727095030403833,0.9544412281810057
0.3,0.9929926257402711,0.7914892618084036,0.9395667812868054
0.3,0.9683680152299721,0.8509779645298476,0.9510270711281198
0.3,0.9785275164021329,0.8940677322484665,0.9478459706659178
0.3,0.9949133103240538,0.7853600513047738,0.9600277847166955
0.3,0.9691494886560861,0.7811140728458448,0.9623341002919352
0.3,0.993059081423181,0.7504717949602603,0.9608513780805776
0.3,0.9871453074020371,0.7492555728538233,0.9511025405058952
