noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation
0.05,0.9962949613772185,,,,,
0.05,0.9958710867684477,,,,,
0.05,0.9974487105479758,,,,,
0.05,0.9968614552883895,,,,,
0.05,0.9986686470189482,,,,,
0.05,0.9958549796886739,,,,,
0.05,0.9987741931063467,,,,,
0.05,0.9984891636435715,,,,,
0.05,0.9970164290278608,,,,,
0.05,0.9947564877520387,,,,,
0.1,0.9854190819531772,,,,,
0.1,0.9830366242724148,,,,,
0.1,0.9838121345231822,,,,,
0.1,0.9822391777588018,,,,,
0.1,0.9911250755661666,,,,,
0.1,0.9818263459933902,,,,,
0.1,0.9861700813784208,,,,,
0.1,0.9873936254572501,,,,,
0.1,0.9927271956424993,,,,,
0.1,0.986590999791498,,,,,
0.2,0.9581376404244014,,,,,
0.2,0.9454461569648331,,,,,
0.2,0.9665780317542355,,,,,
0.2,0.9441344167156471,,,,,
0.2,0.9748636764355124,,,,,
0.2,0.9640721227710594,,,,,
0.2,0.969491014547452,,,,,
0.2,0.9272915540096217,,,,,
0.2,0.9582879327022777,,,,,
0.2,0.9717222933657149,,,,,
0.3,0.9521514174740554,,,,,
0.3,0.9209090631737665,,,,,
0.3,0.9400320291675491,,,,,
0.3,0.8733872245449605,,,,,
0.3,0.9198926513153096,,,,,
0.3,0.9166411641713312,,,,,
0.3,0.9230540502078597,,,,,
0.3,0.8848197091718789,,,,,
0.3,0.8988444314358494,,,,,
0.3,0.9600501163568269,,,,,
