noise_level,phi_correlation,interaction_correlation
0.05,0.9979208177083723,0.97025267197107
0.05,0.9967968103981293,0.990619970928457
0.05,0.9983270526646584,0.9752614628043694
0.05,0.9976416388270389,0.9795734958792733
0.05,0.9956105025695229,0.9988377277109072
0.05,0.9970011972904294,0.9955415925763832
0.05,0.9969475966171081,0.9610574752726802
0.05,0.9970755113843711,0.9899183987071027
0.05,0.9946321028102832,0.9964837436192899
0.05,0.9981081807102353,0.9816969557825759
0.1,0.9928088731795368,0.9815534262826546
0.1,0.9842570569379857,0.8567555113764797
0.1,0.9851499421993454,0.924561735388323
0.1,0.9881294709977899,0.8544950809487744
0.1,0.9907150037396815,0.8756765861552093
0.1,0.9844098391532513,0.8941212524346372
0.1,0.9906499011133248,0.9896370181715958
0.1,0.9912247471473051,0.9215417930732126
0.1,0.9841971824828804,0.9553215561213461
0.1,0.9925166611434667,0.9882923531319253
0.2,0.9517581896104814,0.9651743281271357
0.2,0.964184615331633,0.8906981626349781
0.2,0.9368820987215246,0.7973546437564515
0.2,0.9699736265504734,0.9865170910364366
0.2,0.9689930926645663,0.3396923523243598
0.2,0.9467225914770255,0.8811001272905409
0.2,0.9417140936639629,0.4022134559663171
0.2,0.9841245786268471,0.9096685901310277
0.2,0.9751369393127981,0.9533203839664868
0.2,0.9325506844000737,0.906386353548135
0.3,0.9221739068746253,0.5589284202694823
0.3,0.891421502417702,0.10567797225881241
0.3,0.9229075843392428,0.11783836866052018
0.3,0.8857967790834984,0.5880616045320445
0.3,0.8314070668947644,0.4972945829991295
0.3,0.9019704185585071,0.9787229695745087
0.3,0.9224185223504708,-0.18302550281458996
0.3,0.9383770291156154,0.7896088367355267
0.3,0.9292263175686344,-0.3123634640579219
0.3,0.8498683732493472,0.9706784532141287
