,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability
1,1,5,0.19513225555419922,1.0,,,,,0.9997644559681143,,,
2,2,11,0.2716965675354004,1.0,,,,,0.9975826031609979,0.9908724290033908,,
3,3,15,0.35145998001098633,1.0,,,,,0.9966416838558324,0.996140664396492,0.9857360202637342,
4,4,16,0.39942002296447754,1.0,,,,,0.9963291543044585,0.994854176553747,0.986476365992862,
