dataset,accuracy_eff,noise_eff,stab_eff
pairwise_interaction,0.34163469500459154,0.3306142209721853,0.35240390838199265
pairwise_interaction_bias,0.34163469500459154,0.32935473822562455,0.2198389321454926
pairwise_interaction_clipped,0.20768386098242164,0.29251486788872394,0.21583667867795414
pairwise_interaction_noisy,0.34793210873739505,0.33124396234546566,0.21593206303841528
pairwise_interaction_power2,0.12466099985680115,0.12524630333618925,0.21596574163675358
pairwise_interaction_scaled,0.34163469500459154,0.33502241058514776,0.24455380959066988
pairwise_interaction_tanh,0.2709637797509841,0.3510808156037968,0.23157193598958106
pairwise_interaction_threshold,0.3195937469397791,0.22038387419746708,0.2176245869999662
