dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness,best_k_stability,stability
pairwise_interaction,15,2,0.7233333333333334,2,0.7,3,0.024582062114024892
pairwise_interaction_bias,15,2,0.7233333333333334,2,0.6973333333333332,9,0.0229092412212481
pairwise_interaction_scaled,15,2,0.7233333333333334,2,0.7093333333333333,6,0.022221111083331937
pairwise_interaction_noisy,15,2,0.7366666666666667,2,0.7013333333333334,12,0.025287788005719722
pairwise_interaction_power2,15,8,0.5433333333333333,9,0.5566666666666666,11,0.026451738023132707
pairwise_interaction_tanh,15,3,0.75,2,0.7433333333333333,7,0.023997250999969882
pairwise_interaction_threshold,15,2,0.6766666666666666,3,0.61,10,0.023067533702394612
pairwise_interaction_clipped,15,4,0.6833333333333333,2,0.6193333333333333,15,0.025371681501670757
