,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,6,0.008996963500976562,0.87527352297593,0.8761487964989059,0.8700218818380744,0.8625820568927789,0.8485776805251641,0.8715616438356164,0.01803763709680482
2,2,16,0.008650779724121094,0.975929978118162,0.975929978118162,0.9719912472647703,0.9671772428884026,0.9540481400437637,0.9756712328767125,0.00864017680851594
3,3,26,0.09261536598205566,1.0,1.0,1.0,0.9986870897155361,0.9912472647702406,1.0,0.0
4,4,31,0.00809335708618164,1.0,1.0,1.0,1.0,0.9991247264770241,1.0,0.0
5,5,32,0.009000062942504883,1.0,1.0,1.0,1.0,1.0,1.0,0.0
