noise_level,phi_correlation,order2_correlation
0.05,0.9985972433767522,
0.05,0.9990663318116139,
0.05,0.998095586197551,
0.05,0.9987118070564142,
0.05,0.9994132976067525,
0.05,0.9985129282559467,
0.05,0.9983924029238773,
0.05,0.9988903892172677,
0.05,0.9992393218806621,
0.05,0.9993110062284645,
0.1,0.9959870708056705,
0.1,0.9949188194430719,
0.1,0.9929588861379735,
0.1,0.9954972874565727,
0.1,0.9956384264578342,
0.1,0.9969693248581398,
0.1,0.9957704693972074,
0.1,0.9959135755136065,
0.1,0.9928120039027932,
0.1,0.9985450230303645,
0.2,0.9894822991092788,
0.2,0.9764531486049299,
0.2,0.9763362098676559,
0.2,0.9817131073519084,
0.2,0.9875571804314434,
0.2,0.9866661119459234,
0.2,0.9857398348558882,
0.2,0.9735319852303255,
0.2,0.9768442022157742,
0.2,0.9734302990644862,
0.3,0.9646973006479546,
0.3,0.968199352268614,
0.3,0.9516027321770394,
0.3,0.9706103173173808,
0.3,0.9586343225753781,
0.3,0.9471287807422025,
0.3,0.9814293103156793,
0.3,0.9655953583893759,
0.3,0.9729546430455034,
0.3,0.9645392535800759,
