,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,5,0.0036554336547851562,0.6848249027237354,0.6910505836575875,0.6972762645914397,0.691828793774319,0.6879377431906615,0.6902439024390244,0.030498534697249908
2,2,11,0.007929801940917969,0.7509727626459144,0.7509727626459144,0.7533073929961089,0.7478599221789883,0.735408560311284,0.7474146341463414,0.031887517954659717
3,3,15,0.0,0.7431906614785992,0.7416342412451362,0.7455252918287938,0.7416342412451362,0.7245136186770429,0.7452682926829267,0.028896665060797792
4,4,16,0.008619546890258789,0.8054474708171206,0.8,0.7937743190661478,0.7875486381322957,0.7976653696498055,0.8066341463414635,0.02762474814892422
