k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.9996395437653944,"2,3",2,0.9712149949793596,0.028424548786034842
2,1.0,"0,3",2,0.997124932414456,0.002875067585544011
3,1.0,"1,2,3",3,0.9997425312609961,0.00025746873900389655
4,1.0,"0,1,2,3",4,1.0,0.0
