,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,5,0.004604816436767578,0.7105263157894737,0.711111111111111,0.7134502923976609,0.709356725146199,0.6964912280701754,0.7042490842490843,0.02484164718149448
2,2,11,0.0029993057250976562,0.7280701754385965,0.7269005847953217,0.7192982456140351,0.7263157894736842,0.7134502923976609,0.7312820512820514,0.02481949217513057
3,3,15,0.00500035285949707,0.7105263157894737,0.7157894736842105,0.7087719298245615,0.7064327485380117,0.7035087719298245,0.7118681318681319,0.02689363220053741
4,4,16,0.004999399185180664,0.7105263157894737,0.7152046783625731,0.7187134502923975,0.7116959064327485,0.6970760233918128,0.7095970695970698,0.03020625738063981
