dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness
dados_covid_sbpo_atual,9,5,0.6946710375848136,4,0.6893725699473966
banknotes,5,1,1.0,1,1.0
transfusion,4,1,0.7134502923976608,2,0.7152046783625732
mammographic,4,3,0.8132295719844358,3,0.7961089494163425
raisin,7,2,0.8592592592592593,5,0.8533333333333333
rice,7,1,0.922782874617737,3,0.9087155963302752
diabetes,8,3,0.7833333333333333,4,0.764
skin,4,1,1.0,3,0.999605214600194
pure_pairwise_interaction,15,3,0.7533333333333333,3,0.7293333333333334
triplet_interaction,15,3,0.5533333333333333,5,0.55
