dataset,accuracy_eff,noise_eff
banknotes,0.8304820237218405,0.8304820237218405
dados_covid_sbpo_atual,0.2678728916254705,0.2842912245832975
diabetes,0.3891687433632748,0.34136919652009207
mammographic,0.5817342424850955,0.5694872058011988
pure_pairwise_interaction,0.272168063216544,0.2634972222645126
raisin,0.5400530283085785,0.4036689688974564
rice,0.73512553717712,0.48614389898169474
skin,0.8502741537276025,0.7150558739282105
transfusion,0.6066283435951316,0.5409122988985723
triplet_interaction,0.1999110552829483,0.14885156945444306
