dataset,accuracy_efficiency,robustness_efficiency,stability_efficiency
dados_covid_sbpo_atual,0.259280673619821,0.22815787984333347,0.3724250446087597
banknotes,0.6425486044692343,0.6200458888731156,0.6425486044692343
transfusion,0.516633201526503,0.530739786327299,0.6975434644258852
mammographic,0.5774812817074668,0.5653816739002627,0.7355882560205284
raisin,0.4050073072699599,0.36277577608454525,0.45656973091126407
rice,0.4315885913744809,0.3949321431335689,0.4642686235876336
diabetes,0.3161666347277102,0.2927977965087055,0.40155841237020284
skin,0.7067270923753284,0.7041384062123354,0.7067270923753284
