noise_level,phi_correlation
0.05,0.9991860758890982
0.05,0.9992991899139855
0.05,0.9988684832893171
0.05,0.9992608188229942
0.05,0.9989547727975844
0.05,0.9994349392018338
0.05,0.9990301237444621
0.05,0.9989003339272569
0.05,0.9986912197277161
0.05,0.999111191399694
0.1,0.9976154658079565
0.1,0.9967323708631043
0.1,0.9972002639599443
0.1,0.9956481700555696
0.1,0.9958652548029009
0.1,0.9981238070024991
0.1,0.9960395461467731
0.1,0.9973294955275246
0.1,0.9977821489017792
0.1,0.9950886609576869
0.2,0.9878089462502375
0.2,0.9868718557475745
0.2,0.9798331478090716
0.2,0.9928701768381903
0.2,0.993176953273859
0.2,0.9777344202695024
0.2,0.9859595473738385
0.2,0.9904543238627521
0.2,0.9872863344572554
0.2,0.9915898874685801
0.3,0.9699362977749557
0.3,0.9691036285208344
0.3,0.9611807561370945
0.3,0.971987515818171
0.3,0.9709055611988059
0.3,0.9572203606521031
0.3,0.9473370436250128
0.3,0.9858147893867933
0.3,0.9783699410940987
0.3,0.9871155928867246
