noise_level,phi_correlation,order2_correlation,order3_correlation
0.05,0.9972864366423385,0.9964507590789412,0.9946183206957251
0.05,0.9964134885989324,0.9959098504897526,0.9947501600271642
0.05,0.9931180807400307,0.9949046245859918,0.9945667752625326
0.05,0.9961448756180187,0.9956282249251868,0.9945053356905861
0.05,0.9957157274442663,0.9957777763283691,0.9941683301167792
0.05,0.9952126025860627,0.9959032927912939,0.9938412615151228
0.05,0.9950050548327022,0.9952574386636465,0.9946059292910626
0.05,0.9930749272210013,0.9957476273560044,0.9943406253397474
0.05,0.997495625800351,0.994632158233548,0.9945234189180815
0.05,0.9973452821312062,0.9956708064033567,0.994464176387314
0.1,0.9856334701804377,0.9853474923260286,0.9773380157856935
0.1,0.9772629998949991,0.9813296445503867,0.9786001344892106
0.1,0.9875835669680311,0.9844757670239507,0.9761521681040068
0.1,0.9917702042718175,0.9810632197299715,0.9756472094840608
0.1,0.9733612588950616,0.9823577268632186,0.9795196132651166
0.1,0.9906020950595522,0.9867198282341415,0.9803475839927973
0.1,0.9764045820547276,0.9888368428265277,0.9788128566640655
0.1,0.9691496874234449,0.9839977863305085,0.9784100153038128
0.1,0.9853502477288021,0.982185691440489,0.9775227076088315
0.1,0.9821614547912264,0.9871637174528682,0.9771783937666663
0.2,0.9418629857650834,0.9408439504166213,0.9269010864340819
0.2,0.9307311532773929,0.9426045550391636,0.9260472576386632
0.2,0.9560416729753781,0.9383517795184606,0.9203317399379334
0.2,0.912325663759382,0.936276262047146,0.9212946332213992
0.2,0.9508100171973813,0.9524476676080527,0.9335568293370148
0.2,0.8882278258059628,0.9413373780761707,0.9113659296304644
0.2,0.9288593624016549,0.9390490240721964,0.9226011917406517
0.2,0.9105153883561127,0.9360033122503301,0.9186602788284115
0.2,0.9719180459280202,0.9495387029959765,0.9287478278313556
0.2,0.9703977084781676,0.9493903344249566,0.9253903103353738
0.3,0.8321718581467831,0.8760900293532341,0.8541786760628334
0.3,0.8429719933001747,0.9050437374135565,0.8354341616932751
0.3,0.874916972559797,0.8474851605520444,0.8411585031192711
0.3,0.920047723187386,0.8936962576563311,0.844521853903311
0.3,0.8192628335757579,0.8728177965850354,0.8510664475297816
0.3,0.8833084445082836,0.8408862081582013,0.8660022297208987
0.3,0.8947806444794578,0.9012911064265057,0.8318350777871291
0.3,0.8974269782993012,0.8627149081902823,0.8434871725182892
0.3,0.8724139970442829,0.8732785591208347,0.8555100332813815
0.3,0.9074999218522555,0.8629472101616944,0.842550389586046
