noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation,order7_correlation,order8_correlation,order9_correlation,order10_correlation,order11_correlation,order12_correlation,order13_correlation,order14_correlation
0.05,0.9967067612152919,0.9949681926683684,0.9939352386192036,0.9899786163933697,0.9910458835781352,0.988230709827246,0.98736612903705,0.985232997246202,0.9837059015589493,0.9783530419214356,0.9833550625557133,0.9678104261805834,0.9864471444184861,0.9564771755819774
0.05,0.9911776462097556,0.9949227962196342,0.9931981865369518,0.9907816094581837,0.9901419002583115,0.9881516040787864,0.9873220974285553,0.9853341138070573,0.9848253322090309,0.9814249513239737,0.9850580793315092,0.9769732692561739,0.9881355154000806,0.974166786772092
0.05,0.9980159291726182,0.9945017918008179,0.9937785420769455,0.9903300166390896,0.9907991634213513,0.9880593504575338,0.9879540831970651,0.9856220851479964,0.984790905110155,0.9832310720706784,0.9838953307926758,0.9809853572739371,0.9860795198077701,0.9788528556175171
0.05,0.9930886254703989,0.9947133695167117,0.9935899763720698,0.9901703787472508,0.9904894040501928,0.9882357811672855,0.9865237988914789,0.986821403717873,0.9832568911438786,0.9832534718498968,0.9853409461132965,0.9759425524430853,0.9907326684708933,0.9688039767272506
0.05,0.993586775964089,0.9943314059451926,0.9937367658498367,0.9903382931834499,0.9908784735951672,0.9886544747140814,0.9878903815321789,0.9858090720424709,0.9838014913021474,0.9785988344573937,0.978202031597605,0.9661815231527972,0.9729041760965357,0.9517631903816314
0.05,0.9919686189690979,0.993877236722302,0.9944304027733459,0.9910531279795082,0.9915738783747984,0.9885190694030537,0.9872701512579034,0.9856684385878794,0.9837642560480824,0.9805113038766736,0.984024543721762,0.9709696634550836,0.9870229403696477,0.9568952549812646
0.05,0.9924735678996565,0.9947312543067933,0.9934549566339708,0.9901911987952156,0.9901371177674761,0.9879886560015738,0.9873896646564788,0.9849250662447169,0.9852605975442978,0.9800735600340257,0.9856130176320778,0.973481478167677,0.9881146065442604,0.9662141098405742
0.05,0.9967146828858147,0.9938613364821377,0.9927032993586713,0.9895803120727532,0.989644376457186,0.9876324912121246,0.9868741320362762,0.9845286567575268,0.9834473957567236,0.9792543428453372,0.9820902719341975,0.9696069195052013,0.984511659819251,0.951549507941833
0.05,0.994856518879038,0.9947297299296521,0.993951856824967,0.9901840590094563,0.990791258758089,0.9880149298349287,0.9886675512297659,0.9839164440745787,0.9871408159533351,0.9774358928358596,0.9874843683209271,0.9687618911989938,0.9900124657936485,0.9610110796973458
0.05,0.9975299142671605,0.9945869783984516,0.9923118651010859,0.9900097911055795,0.9889912932226141,0.9880737535195598,0.9855560559338413,0.9850760988044508,0.9835413969440926,0.9789641318992309,0.985044744758345,0.9719477795099969,0.9880657551773379,0.9697396781189126
0.1,0.9744336154904316,0.9809840026213884,0.9755864352848074,0.9666256728522793,0.9662831449145585,0.9575814472102314,0.9588391996423508,0.9485853514274667,0.9514354635030292,0.935750832087487,0.9515451342756011,0.914334747808623,0.9575156018254654,0.8883210511481235
0.1,0.9869770788230188,0.9780969710977626,0.9769303263379003,0.9622554708586009,0.9679711527021957,0.9581223365998742,0.9596534214521644,0.9540704846965722,0.952022033900549,0.9452370898009166,0.9477688817041602,0.9350488456787459,0.9467908882627536,0.9322675721930993
0.1,0.9791307846947122,0.9771651226236112,0.971382775272131,0.9618476649749821,0.962350810039857,0.9527162386947157,0.9545991660828304,0.9422284268295035,0.9434076325035412,0.9117984573829662,0.9364557856068528,0.8536270347159686,0.9349886930872381,0.7896978416016655
0.1,0.9713222071322523,0.9811118316875845,0.9746516071686099,0.9680428731472909,0.961596705555407,0.9614656962706797,0.949466295851326,0.9514944377163531,0.9422794964127268,0.9341091455264464,0.9404597481207839,0.9091496635537315,0.937225151035544,0.8777124331574926
0.1,0.9812577517744449,0.9834818223858802,0.9747652482084319,0.9656218120144849,0.9665836466886738,0.9595614414438812,0.9571260607637377,0.9530991084758996,0.9442511566403953,0.9370300297259372,0.9368177265941043,0.9120591966167008,0.9326571516186615,0.8772145999841102
0.1,0.9810882512595757,0.9802475337963011,0.9740968269677139,0.9660525824481639,0.9651789620214247,0.9606222834636179,0.9560166250288814,0.9530977576876729,0.9484622732914522,0.9363589194447804,0.9513566080248148,0.8998727508276244,0.9647910724542397,0.8298368076366631
0.1,0.974973560662257,0.9829892957167631,0.9763737787748714,0.9651713639199311,0.9661895860617093,0.956871937350736,0.9543332026436903,0.9486363814078084,0.9415558199280624,0.9325678638158695,0.9387402943711216,0.8978170490285768,0.947965514196946,0.8311780458142417
0.1,0.9759175173601049,0.9823864685891236,0.973572327749076,0.9638515099713435,0.9626476609858355,0.9584793341994063,0.9532279534048895,0.9489524393490895,0.9411491841362223,0.9228866129434509,0.9264633458449004,0.8675438422199703,0.9069183495314181,0.7677530336513929
0.1,0.9841630851358177,0.9820778358931144,0.977883533112992,0.9613342638471322,0.9665611047608861,0.9532225721567569,0.9540276832676886,0.9451774866306781,0.9441435954860586,0.9269897967167221,0.9515633274799024,0.8954440491048618,0.9686830553321217,0.8428637447269222
0.1,0.97559851066534,0.9785416214797168,0.975269269799358,0.9622637420286686,0.9629994407584316,0.9582231596888412,0.9551498744045069,0.9549562756070306,0.9501468671390715,0.9413419815176678,0.9531516567644353,0.9137223203403338,0.9658515820091373,0.8820559517134356
0.2,0.9428902175889369,0.9253567546672072,0.9187618704742407,0.8642939209760186,0.8820677872645687,0.8400320831217429,0.8528211595921064,0.8016934834806937,0.8232568276685905,0.7352932655235799,0.8252050510680877,0.6340752040440594,0.8537363190341859,0.4710489463273339
0.2,0.9617662591283113,0.9198083793034009,0.9243553648018621,0.8766631605268556,0.8934557760701036,0.8700009800181693,0.860690140308812,0.8501771549598377,0.8200692234430809,0.8115527334209933,0.8188591272423412,0.763616502521522,0.8612712858168566,0.7357101024685184
