,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,9,0.001005411148071289,0.75,0.75,0.7473333333333333,0.7586666666666667,0.7433333333333334
2,2,37,0.016424894332885742,0.76,0.7539999999999999,0.7553333333333334,0.7486666666666666,0.7493333333333333
3,3,93,0.07702445983886719,0.7833333333333333,0.772,0.764,0.7633333333333333,0.754
4,4,163,0.3875706195831299,0.78,0.774,0.7726666666666667,0.772,0.764
5,5,219,0.4999098777770996,0.78,0.7726666666666666,0.758,0.7553333333333333,0.7613333333333333
6,6,247,0.5644755363464355,0.78,0.7753333333333333,0.7733333333333334,0.7626666666666667,0.7540000000000001
7,7,255,0.5038316249847412,0.78,0.774,0.7713333333333333,0.76,0.7546666666666667
8,8,256,0.49834561347961426,0.78,0.7773333333333332,0.7633333333333333,0.7586666666666666,0.7526666666666666
