,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,shapley_stability,order2_stability,order3_stability,order4_stability
1,1,5,0.0009987354278564453,0.7937743190661478,,,,,0.9981467861090866,,,
2,2,11,0.002000570297241211,0.8093385214007782,,,,,0.997147204934768,0.9493546948728384,,
3,3,15,0.0021109580993652344,0.8093385214007782,,,,,0.9985417164509605,0.9486950434707515,0.9474394086600509,
4,4,16,0.0010461807250976562,0.8093385214007782,,,,,0.9970643050865667,0.9422923186417058,0.9361358134868464,
