dataset,accuracy_efficiency,robustness_efficiency,stability_efficiency
dados_covid_sbpo_atual,0.25943726986480087,0.3926696145185262,0.3680946433436242
banknotes,0.8304820237218405,0.8304820237218405,0.8304820237218405
transfusion,0.5506425283145727,0.5369317505011175,0.6891479389526451
mammographic,0.6914680861053265,0.5756107241431472,0.6999365345033917
raisin,0.6815695811684693,0.6662268892980103,0.6150845060461698
rice,0.4957146269273212,0.7269642428952863,0.4872883851280422
diabetes,0.3500076840411066,0.45132924672144353,0.4040573277320214
skin,0.8502741537276025,0.8500654509340958,0.8502741537276025
