dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness,best_k_stability,stability
dados_covid_sbpo_atual,9,6,0.6946710375848136,2,0.6864603186704277,7,0.0027322399930068426
banknotes,5,1,1.0,1,1.0,1,0.0
transfusion,4,2,0.7280701754385965,2,0.7099415204678363,4,0.02487403357298678
mammographic,4,1,0.8132295719844358,3,0.8046692607003891,3,0.021530714886452612
raisin,7,1,0.8555555555555555,1,0.8362962962962964,2,0.02136081209956242
rice,7,3,0.926605504587156,1,0.9125382262996942,4,0.007185732001430999
diabetes,8,4,0.7833333333333333,2,0.7546666666666667,8,0.020208805836400466
skin,4,1,1.0,1,0.9997545464688162,1,0.0
