,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3
1,1,8,0.03553199768066406,0.6185185185185185,0.617037037037037,0.6303703703703704,0.6155555555555555,0.6155555555555555
2,2,29,0.09227752685546875,0.7666666666666667,0.7748148148148147,0.7755555555555554,0.7592592592592593,0.7488888888888889
3,3,64,0.19767451286315918,0.8333333333333334,0.8318518518518518,0.8148148148148147,0.774074074074074,0.7044444444444444
4,4,99,0.25622987747192383,0.8518518518518519,0.8600000000000001,0.8148148148148149,0.7585185185185186,0.7281481481481482
5,5,120,0.3033444881439209,0.8592592592592593,0.8474074074074075,0.8044444444444444,0.7555555555555554,0.6955555555555556
6,6,127,0.35549426078796387,0.8518518518518519,0.8377777777777776,0.7911111111111111,0.7207407407407407,0.6777777777777778
7,7,128,0.33376383781433105,0.8481481481481481,0.8355555555555556,0.8318518518518518,0.7651851851851852,0.7133333333333333
