noise_level,phi_correlation,order2_correlation
0.05,0.9992451936577383,0.9989031678819601
0.05,0.9978536960113236,0.9981801330606911
0.05,0.9975985301599793,0.9979533990195861
0.05,0.9959814591618924,0.9976644295829459
0.05,0.9965916116516708,0.9981490792449268
0.05,0.9993429061952852,0.9976375691985577
0.05,0.9979994090971668,0.9978580351884601
0.05,0.9985579286634119,0.9983557070723219
0.05,0.9983790187535503,0.9981100087136101
0.05,0.9962921647451699,0.9972004555850152
0.1,0.9962122086649325,0.9968854167275741
0.1,0.9919922316899381,0.9974365493385344
0.1,0.9921254992549214,0.9909159740546737
0.1,0.9962561373662895,0.9978880162655795
0.1,0.9864511761725969,0.9925026384141012
0.1,0.993258668059893,0.995683594039808
0.1,0.9907231661462674,0.9957165417598621
0.1,0.9967494595014845,0.9952149383789066
0.1,0.991817340358269,0.9956292532397417
0.1,0.9927089054382697,0.9959773042526092
0.2,0.9617604271230088,0.9731321638206241
0.2,0.9968884780020415,0.9850333184587996
0.2,0.9911840896333101,0.9902424721820916
0.2,0.9642617062827471,0.9822042437007916
0.2,0.9770513409523146,0.9890424939049758
0.2,0.9813440458588595,0.9895100424677898
0.2,0.9365887222857939,0.9771821704357442
0.2,0.9719588786483514,0.9803142608507567
0.2,0.9681065273619683,0.9748088457153855
0.2,0.9993163473730918,0.9873070924240238
0.3,0.9660358702024603,0.9743179356218487
0.3,0.9671273704633787,0.9592095100315268
0.3,0.9557869837175665,0.9817227645089668
0.3,0.940812803445609,0.9417866070756917
0.3,0.981922128802455,0.9522578818548071
0.3,0.9267118990049474,0.9447732793704907
0.3,0.9616730031549819,0.9800310454561083
0.3,0.9129745318267098,0.9566108606219261
0.3,0.986596617119163,0.9456253611043354
0.3,0.921876818389177,0.9524501177544032
