k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.9296636085626911,"0,1,2,4,5,6",6,0.926605504587156,0.003058103975535187
2,0.9319571865443425,"0,1,2,3,4,5,6",7,0.9319571865443425,0.0
3,0.9311926605504587,"0,1,2,4,5,6",6,0.9296636085626911,0.001529051987767538
4,0.9319571865443425,"0,1,2,4,5,6",6,0.9288990825688074,0.003058103975535076
5,0.9311926605504587,"0,1,2,4,5,6",6,0.9288990825688074,0.002293577981651307
6,0.9311926605504587,"0,1,2,4,5,6",6,0.9296636085626911,0.001529051987767538
7,0.9296636085626911,"0,1,2,3,4,5,6",7,0.9296636085626911,0.0
