dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness,best_k_stability,stability
pairwise_interaction,15,12,0.5733333333333334,14,0.576,11,0.022779742462694066
pairwise_interaction_bias,15,12,0.5733333333333334,4,0.5693333333333334,5,0.02709410042385202
pairwise_interaction_scaled,15,12,0.5733333333333334,12,0.5826666666666667,7,0.02504495957273638
pairwise_interaction_noisy,15,11,0.5966666666666667,12,0.5813333333333334,14,0.02608745973749754
pairwise_interaction_power2,15,2,0.49666666666666665,15,0.4946666666666667,14,0.02718710887330406
pairwise_interaction_tanh,15,10,0.5533333333333333,14,0.5573333333333333,15,0.027716947282604317
pairwise_interaction_threshold,15,11,0.5866666666666667,11,0.588,2,0.02704484444605129
pairwise_interaction_clipped,15,8,0.5433333333333333,8,0.5526666666666666,9,0.02647601115475416
