dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness
dados_covid_sbpo_atual,9,6,0.6957002363345277,8,0.6869863535869483
banknotes,5,3,1.0,4,0.9916849015317286
transfusion,4,3,0.7105263157894737,4,0.6900584795321637
mammographic,4,2,0.7782101167315175,4,0.7821011673151752
raisin,7,7,0.837037037037037,7,0.8177777777777777
rice,7,6,0.9166666666666666,7,0.8847094801223241
diabetes,8,8,0.65,8,0.6406666666666666
skin,4,1,1.0,4,0.9859353410173448
pure_pairwise_interaction,15,1,0.48333333333333334,15,0.49000000000000005
triplet_interaction,15,1,0.4666666666666667,1,0.4666666666666667
