noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation,order7_correlation
0.05,0.9960998280732014,0.998524309914855,0.9933066376092354,0.9958744676298105,0.9913046129214873,0.9928165341673278,0.9896004967489301
0.05,0.9973519965737822,0.9986490145312661,0.9925102262139598,0.9964890102130312,0.9900768406177824,0.9939505626941768,0.9886755985771971
0.05,0.9982834861018941,0.9989118191609611,0.9940352524302253,0.9963945131058424,0.9906055852573393,0.9937567356608716,0.9881188994692467
0.05,0.9944997210445214,0.9981599643899435,0.993407340950641,0.9957139910701536,0.9909589757021767,0.9929545639651018,0.9890003843038715
0.05,0.9933733468966811,0.9988712036478922,0.9929083073397728,0.9966925532346377,0.989283597162407,0.9946703870566145,0.98730047388731
0.05,0.9969259201452233,0.9984850092033655,0.9919280685507992,0.9962898963151473,0.9897786632645316,0.993784414240431,0.9883140066566045
0.05,0.9936375297278954,0.998178775925798,0.9933683938278554,0.9958828603504043,0.9911885811710539,0.993840860880087,0.9893472530167001
0.05,0.9973347289940306,0.9992032388780515,0.9926573784786921,0.9963435539046511,0.9901891719067443,0.9937016903605004,0.9886423517977125
0.05,0.9916693584016606,0.9988397049977767,0.9932209464377866,0.9963265455775479,0.9908956854344129,0.9936425841126773,0.9894017818119105
0.05,0.9922645867867615,0.9986793699696727,0.9928671429173376,0.9960969202646357,0.9900866958721615,0.9937221035846285,0.9885184366381704
0.1,0.9916113525818332,0.993899338164582,0.9736223826905839,0.9855406431864613,0.9665443921038186,0.9748793762918686,0.961979765340693
0.1,0.978230589604368,0.9961059559385836,0.9700645086364399,0.9851507645257864,0.9618115732701132,0.9747537601359497,0.9573509826452166
0.1,0.9709687141249971,0.9941098545280416,0.9733700768706846,0.9858527908123537,0.9630517317931093,0.9780282109848845,0.959283844123265
0.1,0.9910475935057143,0.9959308387615898,0.9757999851808048,0.986060346926116,0.9674832962728891,0.9769736153481026,0.9604053762683002
0.1,0.9769210546593791,0.9956487856889757,0.9739348202803002,0.985202847903436,0.9652692370632073,0.9764698410648287,0.959782235311311
0.1,0.9727768665741867,0.995003489698982,0.9714264233344188,0.9865580705567701,0.9620475695974622,0.9768979784407497,0.9544533430029221
0.1,0.9803322347504108,0.9953850286716296,0.9704968992425608,0.9860590420929417,0.961612746894522,0.9755195440137608,0.953899685181129
0.1,0.9709090376931706,0.9957679288096203,0.9741134423062573,0.9870194422587932,0.9654197859714589,0.9783548126201738,0.9567498757622657
0.1,0.9819727082707708,0.9952772738902751,0.9741994385115742,0.9859574711942014,0.9645575678800123,0.9766990607359142,0.9578018670458971
0.1,0.9889773792309565,0.9951259074480464,0.9733452787394559,0.985670041600804,0.965363982709463,0.9763030230025083,0.9605857015164897
0.2,0.921705850733442,0.9804776479751386,0.9060891300932391,0.9494436705048447,0.8709773948444949,0.9189624032052629,0.8575542229591999
0.2,0.9113553765280219,0.9809805865299384,0.9061398110691643,0.9495543937510972,0.8813145265601054,0.9237186253362072,0.8672946062206904
0.2,0.9713317433309102,0.9848260934594809,0.9072806765066483,0.9516606343127284,0.87336383903361,0.9261658831273436,0.8629670290018165
0.2,0.926245985422374,0.9839622437757264,0.9155103522546361,0.9452169740685192,0.8933140787956508,0.908811450893501,0.8722600904239798
0.2,0.9569838038801867,0.980283721058218,0.907981860533713,0.952598617155928,0.8833164276084836,0.9214105924069922,0.8682200841371488
0.2,0.898697761694557,0.9850239581449939,0.9025759749093425,0.9566314913773276,0.886567362938556,0.9247832077116858,0.866009400164587
0.2,0.9459551646596077,0.9826926863566041,0.8994488063923065,0.9478810702704468,0.8747548629234159,0.9122453765939171,0.8509771900330242
0.2,0.922295913456524,0.9815860920919947,0.9131180066756137,0.9529577458726516,0.8898093217756627,0.9227932353907693,0.8758927687307545
0.2,0.9225430530369548,0.9800492838311364,0.9041083434992169,0.9533643875057288,0.8732026934422155,0.9109438671981949,0.8568389741636909
0.2,0.8460106699454487,0.9834109066335456,0.8985831641552414,0.9483825095235124,0.8754103942072051,0.909122780257517,0.8532781933103046
0.3,0.9067319816435007,0.956830748663058,0.8297995301350274,0.8998268152626079,0.7985010252953794,0.8363854619441156,0.7642670111128319
0.3,0.8804502853165249,0.9539176000315112,0.7844127681333198,0.8924542803061268,0.762843957072613,0.8259409950186275,0.7176964677395421
0.3,0.8956713954919805,0.9601084517301238,0.826579062650548,0.9112359343246991,0.7702794160950797,0.8547019545725086,0.7371409029062637
0.3,0.920456912454189,0.9539718464283372,0.8083840305001708,0.9035723131437643,0.7809740580744776,0.859831294980859,0.7669428887033629
0.3,0.926361517775128,0.967350956504194,0.815247811792718,0.9094363002186207,0.7788362495884236,0.8431992133300951,0.7713651742305164
0.3,0.7574844785352163,0.961950805872611,0.8089786991649714,0.9101035470899634,0.7460079753147245,0.8564377768806577,0.7032281463805182
0.3,0.8319226908188874,0.9638117481924872,0.8191943037538543,0.89904783205512,0.759721231720776,0.8498518534287549,0.7503783731744432
0.3,0.8597718570842336,0.9648057311142693,0.827230919530135,0.9060313351488652,0.7926806678367324,0.8567879489147828,0.7668561623946918
0.3,0.7477254800999809,0.9674484724764707,0.820531209999798,0.9026928070386565,0.76858195397614,0.8439177380414417,0.7264704382513648
0.3,0.8847573785532503,0.9528789602141665,0.8162845684033169,0.8972008326018235,0.7617761598745391,0.8495581913806153,0.7171127183664492
