dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness,best_k_stability,stability
dados_covid_sbpo_atual,9,6,0.6946710375848136,2,0.6869406114202943,6,0.0027774530635206033
banknotes,5,1,1.0,1,0.999562363238512,1,0.0
transfusion,4,2,0.7280701754385965,2,0.7116959064327485,1,0.02512553515861508
mammographic,4,1,0.8132295719844358,2,0.8070038910505837,2,0.020547184565658908
raisin,7,1,0.8555555555555555,1,0.8340740740740742,6,0.02066806878291641
rice,7,3,0.926605504587156,1,0.9117737003058103,3,0.007118898893216469
diabetes,8,4,0.7833333333333333,2,0.7493333333333334,8,0.027094997488261358
skin,4,1,1.0,1,0.9997390983444762,1,0.0
