dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness,best_k_stability,stability
dados_covid_sbpo_atual,9,7,0.69505222230693,6,0.6898757337805901,4,0.0025458709539737424
banknotes,5,1,1.0,1,1.0,1,0.0
transfusion,4,2,0.7105263157894737,3,0.7058479532163743,1,0.023036303573265263
mammographic,4,2,0.8093385214007782,2,0.8085603112840467,1,0.0264489226363914
raisin,7,2,0.8703703703703703,7,0.8518518518518517,1,0.021134652241691355
rice,7,1,0.9250764525993884,5,0.91651376146789,2,0.007470718332570697
diabetes,8,4,0.7666666666666667,5,0.7666666666666667,5,0.024063140323370563
skin,4,1,1.0,1,0.9997579793853364,1,0.0
pure_pairwise_interaction,15,4,0.7266666666666667,4,0.71,11,0.02242270674512285
