noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation
0.05,0.9953982282738829,,,,
0.05,0.998007469908102,,,,
0.05,0.9974968645880796,,,,
0.05,0.9982150344764669,,,,
0.05,0.9969528814931529,,,,
0.05,0.9967023148542088,,,,
0.05,0.9971652113972764,,,,
0.05,0.9968662180283908,,,,
0.05,0.9965793810209784,,,,
0.05,0.9960563698388023,,,,
0.1,0.9840768705357614,,,,
0.1,0.9842372238786131,,,,
0.1,0.9890194744486266,,,,
0.1,0.986264805829066,,,,
0.1,0.9876871475820552,,,,
0.1,0.9879634393325797,,,,
0.1,0.9899750235073564,,,,
0.1,0.9884694098871463,,,,
0.1,0.9915778036112183,,,,
0.1,0.9892030030501308,,,,
0.2,0.9629333550646758,,,,
0.2,0.9509500824237089,,,,
0.2,0.9390584426729752,,,,
0.2,0.9462687980657675,,,,
0.2,0.960435186501441,,,,
0.2,0.9386113437154595,,,,
0.2,0.9669454760912475,,,,
0.2,0.9517316536939936,,,,
0.2,0.9335462505791748,,,,
0.2,0.947442507784997,,,,
0.3,0.9388660365453804,,,,
0.3,0.9524595358973799,,,,
0.3,0.883158278737473,,,,
0.3,0.9488184387645762,,,,
0.3,0.9321382586535663,,,,
0.3,0.8921216351047407,,,,
0.3,0.8886606308989398,,,,
0.3,0.8808008626465459,,,,
0.3,0.8341386558648087,,,,
0.3,0.9592598835388076,,,,
