noise_level,phi_correlation,interaction_correlation
0.05,0.9965292270278893,0.9965818663331724
0.05,0.998879859214538,0.9966383534035296
0.05,0.9972817840746602,0.9893498474808413
0.05,0.996071222075022,0.9944983334176202
0.05,0.9983918976484404,0.9967270856931524
0.05,0.9989783887006023,0.9850760093222211
0.05,0.9948727409186267,0.9954740241439114
0.05,0.9964367590745594,0.9910522790837273
0.05,0.9978325381165916,0.9898830074700029
0.05,0.9966711454646363,0.9877550002440684
0.1,0.9917484168565188,0.9765281505797893
0.1,0.9898952020992426,0.9605508004497662
0.1,0.9886483179842429,0.9533712521788793
0.1,0.9923336543801565,0.9851430774136419
0.1,0.9972464411168814,0.9836266703156306
0.1,0.9913882981392715,0.982422748878883
0.1,0.9914718808387875,0.9734953353805497
0.1,0.9848771877279704,0.9664637858480418
0.1,0.9931616914722569,0.9642363443895897
0.1,0.9892027942687843,0.9631422969884286
0.2,0.9719843778777167,0.9258457505113199
0.2,0.958249985538616,0.9169040436572824
0.2,0.8920237551249244,0.9325201113774404
0.2,0.9532477682308345,0.8467849924326395
0.2,0.9766300896595578,0.9006037597203491
0.2,0.9361962993266639,0.8079051849926328
0.2,0.9552565254995931,0.8952789730313372
0.2,0.9498512120940757,0.8627143303797509
0.2,0.9563700584588718,0.92197931090064
0.2,0.9248370372658928,0.7788622624206193
0.3,0.8312088418920268,0.8643447961909185
0.3,0.9609199124295005,0.4978605455283732
0.3,0.9352314711340994,0.7709033570591542
0.3,0.939178706680376,0.8621223981431431
0.3,0.8871810731525428,0.8004991202863032
0.3,0.8784892840310737,0.8595379880600397
0.3,0.9765119679680829,0.650498735876735
0.3,0.9342053042674158,0.7348577732644188
0.3,0.9603675147841624,0.899192528191317
0.3,0.9118620618452575,0.666845532299143
