noise_level,phi_correlation
0.05,0.9983495230390199
0.05,0.9980542510698815
0.05,0.9987622644369931
0.05,0.9974015315028761
0.05,0.9973464203091778
0.05,0.9982024633395999
0.05,0.9986398787877108
0.05,0.9987486156283979
0.05,0.9985506837132884
0.05,0.9984467298504053
0.1,0.9899613538711628
0.1,0.991850295695099
0.1,0.9918472801055027
0.1,0.9959962047078341
0.1,0.9961943134556114
0.1,0.9916848456787131
0.1,0.9948788854283622
0.1,0.9959676822616081
0.1,0.9892328301770468
0.1,0.9957226985173874
0.2,0.9738291566920407
0.2,0.9815785233877377
0.2,0.970293356955239
0.2,0.9907931860424789
0.2,0.9837877332275156
0.2,0.9786513805982832
0.2,0.9724929512895861
0.2,0.9768570675839202
0.2,0.98766242062126
0.2,0.9809601910624048
0.3,0.9480838302046688
0.3,0.9443031076509955
0.3,0.9449304702464894
0.3,0.9408062761195926
0.3,0.9431511501435939
0.3,0.9617017237432778
0.3,0.9467804560675435
0.3,0.9516331953956034
0.3,0.9465727076263704
0.3,0.9659643454559265
