noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation
0.05,0.9983818784415442,,,,,
0.05,0.9969634854930916,,,,,
0.05,0.9977288688736323,,,,,
0.05,0.9982721053621003,,,,,
0.05,0.9932546818123362,,,,,
0.05,0.9981238871745566,,,,,
0.05,0.9979549961106075,,,,,
0.05,0.9978231977896269,,,,,
0.05,0.9961987971199602,,,,,
0.05,0.9977390188439008,,,,,
0.1,0.9855777237480816,,,,,
0.1,0.984713954285848,,,,,
0.1,0.9965057977695894,,,,,
0.1,0.9758274344801503,,,,,
0.1,0.9862423090590196,,,,,
0.1,0.9871780257722172,,,,,
0.1,0.984363542417543,,,,,
0.1,0.9840282432916738,,,,,
0.1,0.9886561243213361,,,,,
0.1,0.9911575648897419,,,,,
0.2,0.9367922507553637,,,,,
0.2,0.9819160253983155,,,,,
0.2,0.9305263913891648,,,,,
0.2,0.9620474232612508,,,,,
0.2,0.9415774588104775,,,,,
0.2,0.94686985942197,,,,,
0.2,0.9643472486288722,,,,,
0.2,0.9133415155883672,,,,,
0.2,0.9403635585917013,,,,,
0.2,0.9341190700569507,,,,,
0.3,0.9453690530528006,,,,,
0.3,0.9555619170451869,,,,,
0.3,0.837796631813402,,,,,
0.3,0.9225968160778254,,,,,
0.3,0.9634366623537128,,,,,
0.3,0.9155890827031489,,,,,
0.3,0.9197991819297681,,,,,
0.3,0.8828191197829426,,,,,
0.3,0.825964484105803,,,,,
0.3,0.9518495137952173,,,,,
