noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation
0.05,0.9981376956180185,,,
0.05,0.9985425311443654,,,
0.05,0.9981509394720656,,,
0.05,0.9991615036290908,,,
0.05,0.9966012832982288,,,
0.05,0.9966749022913004,,,
0.05,0.9991922047274268,,,
0.05,0.998380222003915,,,
0.05,0.9976205069023112,,,
0.05,0.998674658006448,,,
0.1,0.9929291416348434,,,
0.1,0.9961916457651225,,,
0.1,0.9937832757095051,,,
0.1,0.9950138922482569,,,
0.1,0.9878064983169643,,,
0.1,0.9928404221938325,,,
0.1,0.9945900492935624,,,
0.1,0.9891752059460985,,,
0.1,0.9903811946977841,,,
0.1,0.9861861987348707,,,
0.2,0.9627855286991034,,,
0.2,0.9836560925122584,,,
0.2,0.9896892745059355,,,
0.2,0.9775955526711085,,,
0.2,0.9798875526440655,,,
0.2,0.9536894993860955,,,
0.2,0.9439740811290702,,,
0.2,0.9711358931989776,,,
0.2,0.9393145828521334,,,
0.2,0.960718160018324,,,
0.3,0.8898067630307877,,,
0.3,0.9627032466094232,,,
0.3,0.8984824558835308,,,
0.3,0.9695156851014317,,,
0.3,0.9635512892657734,,,
0.3,0.9043712390792854,,,
0.3,0.9361899384553708,,,
0.3,0.9300104929796169,,,
0.3,0.9350112175696819,,,
0.3,0.9111793357270468,,,
