,k_value,n_params,train_time,baseline_accuracy,noise_0.05,noise_0.1,noise_0.2,noise_0.3,indices_stability,interaction_stability
1,1,16,0.0019998550415039062,0.49333333333333335,,,,,0.9801667995422552,
2,2,121,0.003999471664428711,0.7466666666666667,,,,,0.9849096737823838,
3,3,576,0.03040289878845215,0.7733333333333333,,,,,0.9692347184549083,0.7000000000000001
4,4,1941,0.13145136833190918,0.7566666666666667,,,,,0.9715825463238258,0.7800411375407782
5,5,4944,0.45916247367858887,0.7666666666666667,,,,,0.9614064872196889,0.7861669678834113
6,6,9949,1.4803338050842285,0.7633333333333333,,,,,0.96023437254047,0.8310416557973458
7,7,16384,4.929679870605469,0.7633333333333333,,,,,0.9594528398795062,0.9448765885080522
8,8,22819,9.377527952194214,0.77,,,,,0.9639962321622728,0.9188990394054386
9,9,27824,17.93567180633545,0.7733333333333333,,,,,0.9642930673615241,0.9007019440834751
10,10,30827,71.69830393791199,0.7766666666666666,,,,,0.9674204310796708,0.9083088458787205
11,11,32192,107.026198387146,0.7766666666666666,,,,,0.9596728791941793,0.9291343639848071
12,12,32647,40.55083775520325,0.7766666666666666,,,,,0.9556420347436169,0.9256419460434866
13,13,32752,51.30640435218811,0.7766666666666666,,,,,0.9639510902005082,0.9159494607620936
14,14,32767,43.190019607543945,0.7766666666666666,,,,,0.9624557402232871,0.8999442597958798
15,15,32768,71.64862895011902,0.7766666666666666,,,,,0.9661024710387076,0.9097677151605195
