dataset,accuracy_efficiency,robustness_efficiency,stability_efficiency
dados_covid_sbpo_atual,0.2557950189162377,0.24940750717557558,-0.0010671208970537477
banknotes,0.6425486044692343,0.6200458888731156,-0.0
transfusion,0.5042146507005267,0.5351626178800265,-0.017610767674004518
mammographic,0.5692315491116459,0.5609818165158249,-0.0193057156941553
raisin,0.40327650681154126,0.3897762632358759,-0.016460136142988205
rice,0.43151096254523114,0.4134390049160176,-0.0040607295288263975
diabetes,0.3285383726083597,0.2974715641525064,-0.009072607779142991
skin,0.7067270923753284,0.7036628837306609,-0.0
