dataset,n_attr,best_k_accuracy,max_accuracy,best_k_noise,noise_robustness,best_k_stability,stability
dados_covid_sbpo_atual,9,9,0.6951665777235648,9,0.6774186170618283,9,0.002778854118509294
banknotes,5,3,1.0,5,1.0,3,0.0
transfusion,4,4,0.7134502923976608,3,0.708187134502924,4,0.02191982526890666
mammographic,4,4,0.8054474708171206,4,0.796887159533074,4,0.02438712175138904
raisin,7,7,0.8629629629629629,7,0.8311111111111111,6,0.02144093395433181
rice,7,6,0.9220183486238532,7,0.8902140672782874,7,0.007656329314156126
diabetes,8,8,0.7966666666666666,8,0.744,8,0.025045098211914533
skin,4,4,1.0,4,0.9955732541473921,4,0.0
