noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation
0.05,0.999306264998347,0.9987285577702677,0.9960269554718935,0.9983134658635918
0.05,0.992322123812987,0.995609062500237,0.9891371289020259,0.9925353001407196
0.05,0.9992912747672119,0.9980533164207714,0.9944756893156786,0.9964665284105542
0.05,0.9887098821074735,0.9960308182293088,0.9916366585872587,0.9959397373096984
0.05,0.9939238380603632,0.9968247342743867,0.9938267927609106,0.9968732635348038
0.05,0.9957196487130013,0.997467117062088,0.9952246739954373,0.9975841366017344
0.05,0.9885403630747422,0.9958685937668649,0.9920854131037499,0.9968538959267045
0.05,0.9965307180608696,0.9968308459711569,0.9952857404048147,0.9969891841698366
0.05,0.9908610385482579,0.9964158598834211,0.990451453210269,0.9945178401060891
0.05,0.9897343622748896,0.9956666856481313,0.9919311291132474,0.9947716601819764
0.1,0.9868272806747892,0.9905782034633311,0.9699308571959414,0.9835484687288639
0.1,0.9931085753431512,0.9968672958309813,0.9919260723982574,0.9945350788885877
0.1,0.9960255193600829,0.997535492378471,0.9926543200435274,0.9959301761178344
0.1,0.9866457181027395,0.9948475833430203,0.9888893255448671,0.9940646435092226
0.1,0.9785201280717797,0.982679004574829,0.9693545855831437,0.9772987273664888
0.1,0.9620734438989651,0.9885665730270595,0.9771547968414247,0.9881481570694794
0.1,0.9972326125866043,0.9974316645798054,0.9909885197085323,0.993394086305386
0.1,0.9850942032820853,0.9869147520381445,0.9725846845487021,0.9888044727412628
0.1,0.9934452608035673,0.9971641526279647,0.9930539546799877,0.9950926107731785
0.1,0.9768144394398429,0.9945928812125029,0.9867411068167546,0.9947533481674459
0.2,0.9660470129821326,0.9779245066467788,0.9409535543857783,0.986211118842106
0.2,0.9714751786029447,0.975164981222118,0.941253510803708,0.9667763630375275
0.2,0.9698924697997362,0.9719179933027009,0.9340878342422152,0.9581663596434673
0.2,0.9050915270807499,0.965828799761309,0.9472658161499248,0.9788438678745861
0.2,0.9871295824020245,0.9811989238308789,0.9629402228819888,0.9774016595750752
0.2,0.9426527181177985,0.9521754244663295,0.8848074479547422,0.9367133352040925
0.2,0.9823375290410816,0.9800043755060444,0.9549193302564523,0.9699546050469574
0.2,0.8729487497826053,0.9506593368701435,0.9434460514863964,0.9755617042133836
0.2,0.855790436431187,0.9555705275709038,0.9010963706669226,0.9428006394509912
0.2,0.9815563202149798,0.9780320192585426,0.9613530485752597,0.9762951472171906
0.3,0.9895465868483115,0.9766361050171126,0.9179795473508918,0.963674658493194
0.3,0.7992128490703555,0.9005260400231684,0.8584118034242643,0.9225439054331941
0.3,0.945542519061915,0.9533928169034266,0.9333835278022322,0.9548442878080332
0.3,0.9716183739540322,0.9603456009092202,0.8940265728123707,0.9372989271870165
0.3,0.934924467716422,0.9477472303452102,0.9207572305564763,0.9450845570822587
0.3,0.8671790925691462,0.8880034700939092,0.7995276080056266,0.8797888088435575
0.3,0.790803330381847,0.9408567644143485,0.8714358513700287,0.9245280751631284
0.3,0.8748642802170276,0.9432018690714624,0.893359271759717,0.9492276534403873
0.3,0.9150877229137991,0.9536916360065746,0.894961699225083,0.9214134553927354
0.3,0.8229429289525165,0.9414245137124772,0.8709705503981576,0.9452090807834375
