noise_level,phi_correlation,order2_correlation,order3_correlation
0.05,0.9952179883814263,0.9982848162165097,0.9957714814039834
0.05,0.9914288765413445,0.9960715985353651,0.9936418616129696
0.05,0.9991739945343899,0.998206072965829,0.9954435544716022
0.05,0.996538284811684,0.9978001723160944,0.9940858226794173
0.05,0.9980545609228637,0.9984362120662073,0.9963979781002413
0.05,0.9947669057024858,0.996822179628679,0.9933251362335928
0.05,0.9975980727831604,0.9987874459819052,0.9973341468003495
0.05,0.9950381773677963,0.9970097483041996,0.9947156693658932
0.05,0.9990927055729257,0.9983932576040996,0.99596120794603
0.05,0.9979932763340446,0.9986999701880513,0.9970899023336987
0.1,0.9929086614085978,0.991544821299562,0.980140911713206
0.1,0.9735113619415035,0.9909940081371862,0.9818793516488471
0.1,0.9886324417188288,0.9904915148387468,0.9826353058977437
0.1,0.981350896841627,0.9933145784024616,0.9865796376745153
0.1,0.9680110319380293,0.9869279783208481,0.9693680349784437
0.1,0.9767078688181201,0.9940684984884582,0.9884125815778779
0.1,0.9982628226660188,0.9966705565521943,0.9903305359064096
0.1,0.9910333139905481,0.9950711514741231,0.9868112385954999
0.1,0.9761666378629501,0.9896175504569996,0.9793935789554254
0.1,0.9845923268258477,0.9933547559088921,0.9854383576941461
0.2,0.926643747462559,0.9696770572989807,0.9342486841261577
0.2,0.9845774674859882,0.977823803870967,0.9570857898592043
0.2,0.9762834012511898,0.9838324532489426,0.9590029583440495
0.2,0.9305929714958662,0.9741813554580876,0.9679823503902898
0.2,0.9130815784811266,0.9675289620880428,0.9437518478416895
0.2,0.9336904372901798,0.9707742214999044,0.9283947453898574
0.2,0.9616310239106386,0.9729598832691795,0.9257478644642331
0.2,0.9759653398186209,0.9769622167371483,0.9625463774980794
0.2,0.9668020056611187,0.9807046926882736,0.9654089678120055
0.2,0.9472356902786048,0.9739243576298737,0.9636593589238747
0.3,0.9424370446056342,0.9741061854527389,0.9162462349001195
0.3,0.9303803740063624,0.9336248538947267,0.8725504942037258
0.3,0.958936102325475,0.9419162783843598,0.9043405607272881
0.3,0.9460952981457494,0.9637606174861327,0.8770714819644715
0.3,0.8367593345392889,0.9242142037742536,0.8748790178867232
0.3,0.8885848624841055,0.9350999922358549,0.8776032827343
0.3,0.8894738601524673,0.9614945798532155,0.9226439708332248
0.3,0.9093279546931683,0.949061435546431,0.8427251530237346
0.3,0.9580202544459243,0.9437348088099514,0.8354630946313855
0.3,0.7762464888388123,0.9431545385799062,0.8632418219478609
