noise_level,phi_correlation
0.05,0.9993798621591827
0.05,0.9976033153608773
0.05,0.9993762303022335
0.05,0.9991677658807361
0.05,0.9993658805179004
0.05,0.9993696073806563
0.05,0.9997566674633224
0.05,0.9990638765789471
0.05,0.9996274461351293
0.05,0.9997939809637724
0.1,0.9986356396715056
0.1,0.9988122420715092
0.1,0.9939080250621594
0.1,0.9997354107322864
0.1,0.9975861706353071
0.1,0.9987596560304459
0.1,0.9979945945647767
0.1,0.9992597012937127
0.1,0.9993084241866811
0.1,0.9965959587854407
0.2,0.9994585170646085
0.2,0.9972210028534244
0.2,0.9988058150733592
0.2,0.9973631931695306
0.2,0.9893911057402651
0.2,0.9950998433174897
0.2,0.9956477200918852
0.2,0.9845464160857922
0.2,0.990810435828999
0.2,0.992555386197304
0.3,0.9931361603759201
0.3,0.9789703504304901
0.3,0.9969848595596734
0.3,0.9972176367513104
0.3,0.9922942953181572
0.3,0.9907761087307231
0.3,0.9946718325659878
0.3,0.9939913527137388
0.3,0.9923930919127408
0.3,0.9917292891377891
