k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.9281345565749235,"0,1,3,4,5,6",6,0.926605504587156,0.001529051987767538
2,0.9288990825688074,"0,1,2,3,4,5",6,0.9281345565749235,0.00076452599388388
3,0.9288990825688074,"0,1,2,4,5,6",6,0.9258409785932722,0.003058103975535187
4,0.926605504587156,"1,2,3,4,5,6",6,0.9250764525993884,0.001529051987767538
5,0.9258409785932722,"0,1,3,4,5,6",6,0.9250764525993884,0.000764525993883769
6,0.9258409785932722,"0,1,3,4,5,6",6,0.9250764525993884,0.000764525993883769
7,0.9250764525993884,"0,1,2,3,4,5,6",7,0.9250764525993884,0.0
