k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.6573911717618358,"1,2,3,4,5,7,8",7,0.5919417549744607,0.06544941678737515
2,0.6785469238392925,"0,1,2,3,4,7,8",7,0.6632232980102157,0.015323625829076759
3,0.6857131966150797,"0,1,2,3,4,6,7,8",8,0.6815201646718,0.00419303194327969
4,0.688800792864222,"0,1,2,4,5,6,7,8",8,0.6865518030037356,0.0022489898604863834
5,0.6892963330029732,"0,1,2,3,4,5,6,7,8",9,0.6892963330029732,0.0
6,0.6902111763360524,"0,1,2,3,4,5,6,7,8",9,0.6902111763360524,0.0
7,0.6899824655027826,"0,1,2,3,4,5,6,7,8",9,0.6899824655027826,0.0
8,0.6903255317526874,"0,1,2,3,4,5,6,7,8",9,0.6903255317526874,0.0
9,0.6903255317526874,"0,1,2,3,4,5,6,7,8",9,0.6903255317526874,0.0
