noise_level,phi_correlation,order2_correlation
0.05,0.9999892453589335,0.999892345503851
0.05,0.9999985257217054,0.9998827650289496
0.05,0.9999953995536158,0.9999557467772412
0.05,0.9999960862770089,0.9999051249211333
0.05,0.9999961336820761,0.9998948635202459
0.05,0.9999975378917124,0.9999714220003112
0.05,0.9999948894529288,0.9998535518650765
0.05,0.9999980791329413,0.9999095115777972
0.05,0.9999994064359756,0.9999365043989284
0.05,0.9999984654014462,0.9998500246307249
0.1,0.9999816538228481,0.9997343066566979
0.1,0.999975532539344,0.9998821000822014
0.1,0.9999832713214829,0.9998566008455918
0.1,0.9999913272618658,0.9998422997979639
0.1,0.9999610676651263,0.9997113333415939
0.1,0.9999829191300955,0.9992549195785388
0.1,0.9999987070357302,0.9999018613449222
0.1,0.9999819999057729,0.9999073234404398
0.1,0.9999729476851418,0.9997243747075212
0.1,0.9999706213595412,0.9999047276088285
0.2,0.9998335900290619,0.9981244500741641
0.2,0.9996481272508225,0.9994518167496553
0.2,0.9998835499767148,0.9987695616684756
0.2,0.9998951011970323,0.9987561849787949
0.2,0.9996573959725809,0.9984581704667455
0.2,0.9998939174838017,0.9982011789948824
0.2,0.9996691523918233,0.9991206170041188
0.2,0.9998442572621445,0.9986779227020056
0.2,0.9999576087149032,0.9992067869715077
0.2,0.9999476320135016,0.9987252934143119
0.3,0.9984590300485396,0.9903121638518876
0.3,0.9983721929225171,0.9970543658887824
0.3,0.9973972478436598,0.9987128221460323
0.3,0.9988092617429901,0.9963772410883877
0.3,0.9986569940929557,0.9956349468453023
0.3,0.999425793596196,0.9971190396608495
0.3,0.9984499373770729,0.9990103775057589
0.3,0.9981893538442719,0.9920889701542318
0.3,0.9986795650990138,0.9977273471568036
0.3,0.9988265876720565,0.9964189147597818
