noise_level,phi_correlation,interaction_correlation
0.05,0.997238370679258,0.9934668423808303
0.05,0.9973190976313627,0.9991450190761157
0.05,0.9980603586658159,0.9957628781266069
0.05,0.9969039871436072,0.9973903506270309
0.05,0.9970774338108925,0.9985425000546484
0.05,0.9984023833928608,0.9980804142330015
0.05,0.9949094540999284,0.9933322693446279
0.05,0.9930301149719385,0.992368446359143
0.05,0.9979004255398277,0.9960145493259634
0.05,0.9968936137370723,0.9939347741134984
0.1,0.9828606459657738,0.9888303570344188
0.1,0.9897401013484656,0.9883797941178654
0.1,0.9890002380382945,0.9730822366518099
0.1,0.9936084481413536,0.991977234874605
0.1,0.9950052022247075,0.9936121768436065
0.1,0.9948951239226441,0.9935444103145837
0.1,0.9881074527247001,0.9938126772255774
0.1,0.9779428350792203,0.9805534198570037
0.1,0.9793082568126636,0.999292690184027
0.1,0.9943640929770103,0.986440717279957
0.2,0.9118660720940672,0.908027184362046
0.2,0.9505773861374157,0.9815508264954107
0.2,0.9428493422413167,0.9654555814028841
0.2,0.9628026895771086,0.9690777389977197
0.2,0.9291633990521251,0.9378471816191563
0.2,0.9719556308992309,0.9812016328115566
0.2,0.9513740005630326,0.9503309814989563
0.2,0.9586534948341457,0.9846589258771299
0.2,0.9691156320269994,0.985477945716547
0.2,0.9658861767654278,0.8474235449871134
0.3,0.8764276018192838,0.8805841426708872
0.3,0.872049545083773,0.8753139445784172
0.3,0.9267545916040143,0.8469407430302516
0.3,0.8948251818763595,0.9367789112772349
0.3,0.8920474758111426,0.9116744123383114
0.3,0.9393292585571594,0.9580218916380856
0.3,0.848214721897553,0.9238632838450378
0.3,0.8247236524053357,0.9660685672890169
0.3,0.9280064902796784,0.8340647058847845
0.3,0.9216197104458407,0.8071958943421277
