noise_level,phi_correlation
0.05,0.9966999571381598
0.05,0.9988946243794641
0.05,0.9986400253399879
0.05,0.9984750992282001
0.05,0.998250778097877
0.05,0.9990104257058205
0.05,0.9986546191726392
0.05,0.9989214425829791
0.05,0.9982009970703334
0.05,0.9981799394231862
0.1,0.9945965150341033
0.1,0.9940344361023201
0.1,0.9904500579218605
0.1,0.9955355395914266
0.1,0.995620282739102
0.1,0.9900808196913657
0.1,0.9960226929569385
0.1,0.996955600558634
0.1,0.9951684374143486
0.1,0.9939196247923282
0.2,0.9663938834314384
0.2,0.9633707799440907
0.2,0.971015559751306
0.2,0.9806851146179096
0.2,0.9512355198390122
0.2,0.9666603351022608
0.2,0.9719564499143118
0.2,0.98829178439671
0.2,0.9665128924419798
0.2,0.9844272579095749
0.3,0.9765682145436648
0.3,0.8973922716102857
0.3,0.9306927444081671
0.3,0.9674743025597083
0.3,0.9697357077480484
0.3,0.9278738431819505
0.3,0.9407484225357938
0.3,0.9093531634417088
0.3,0.9794833093248361
0.3,0.9612748996017888
