k_value,best_accuracy,best_feature_set,best_n_features,full_accuracy,accuracy_improvement
1,0.7076023391812866,"0,2,3",3,0.6900584795321637,0.01754385964912286
2,0.7339181286549707,"0,1,2,3",4,0.7339181286549707,0.0
3,0.7105263157894737,"0,2,3",3,0.7046783625730995,0.005847953216374213
4,0.7105263157894737,"0,1,2,3",4,0.7105263157894737,0.0
