noise_level,phi_correlation,interaction_correlation
0.05,0.9980470513890032,0.9976002633404178
0.05,0.9983053308795587,0.9955204038433773
0.05,0.9959678088718747,0.9826362666335855
0.05,0.9970617583888917,0.9966800841655474
0.05,0.9955748260528371,0.9873916164288793
0.05,0.997547460175997,0.9957547600789521
0.05,0.9979621045473965,0.9849429230351986
0.05,0.9978971291083093,0.989425136780743
0.05,0.9968794721674846,0.9872193988329913
0.05,0.9961733863324,0.9926117390527346
0.1,0.994870557623561,0.9746869220379522
0.1,0.9947865868718477,0.9820328143434928
0.1,0.991087520067195,0.9577545467737998
0.1,0.9864732233593196,0.9600876617386693
0.1,0.9901972428423094,0.9554882995038921
0.1,0.9941081072623177,0.9537979484364327
0.1,0.9839948182620715,0.9842153265238213
0.1,0.9872299215637748,0.9516681430400974
0.1,0.9911617851890809,0.9751738484797039
0.1,0.9914112983693498,0.9571870049355625
0.2,0.9468268316056011,0.8750961787837293
0.2,0.9605748265595282,0.8612734435290462
0.2,0.9835510923396128,0.911523027051434
0.2,0.9714134885844793,0.8666527877422894
0.2,0.9591940785007235,0.8926435767634437
0.2,0.9867936689137681,0.8494918155684823
0.2,0.9702740566672796,0.9716863374843818
0.2,0.9684708890806414,0.7698019926770484
0.2,0.9548291369632363,0.9146774505570264
0.2,0.9431302329973592,0.89646806764038
0.3,0.8831911035309208,0.7744929186823457
0.3,0.8678523849994855,0.8255557341235906
0.3,0.9292642094386115,0.7324383893414441
0.3,0.949666359613182,0.7818860348297706
0.3,0.9371789064251577,0.9632987340016592
0.3,0.9354555893200129,0.8980809871959007
0.3,0.9269302883525375,0.9071218197778871
0.3,0.932425369408373,0.7563365166956196
0.3,0.9555029002534758,0.8906648106929689
0.3,0.9266435575405776,0.8506928920321258
