noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation,order7_correlation
0.05,0.9977597094400278,,,,,,
0.05,0.9963089797944217,,,,,,
0.05,0.9945100491059793,,,,,,
0.05,0.9962344120574472,,,,,,
0.05,0.997865337643644,,,,,,
0.05,0.996112449531932,,,,,,
0.05,0.9962261212928699,,,,,,
0.05,0.9974209206309983,,,,,,
0.05,0.9946812186159087,,,,,,
0.05,0.9977209168604139,,,,,,
0.1,0.9930137931785776,,,,,,
0.1,0.9943924414242028,,,,,,
0.1,0.9932265752311848,,,,,,
0.1,0.989722714222008,,,,,,
0.1,0.9932417644754461,,,,,,
0.1,0.9902424767776913,,,,,,
0.1,0.9945667434185278,,,,,,
0.1,0.9862860263024128,,,,,,
0.1,0.9961270411014411,,,,,,
0.1,0.9921347849477365,,,,,,
0.2,0.9643479400990748,,,,,,
0.2,0.9516091811108495,,,,,,
0.2,0.9511846399770971,,,,,,
0.2,0.9295063617263861,,,,,,
0.2,0.9741925106809903,,,,,,
0.2,0.9669608624319614,,,,,,
0.2,0.946561298070077,,,,,,
0.2,0.9684085604899598,,,,,,
0.2,0.9613962904347887,,,,,,
0.2,0.9765143571468443,,,,,,
0.3,0.9245055415424511,,,,,,
0.3,0.9357739260624895,,,,,,
0.3,0.8880670821410147,,,,,,
0.3,0.9370417400966903,,,,,,
0.3,0.8920193827921765,,,,,,
0.3,0.932334889450005,,,,,,
0.3,0.9671307651249471,,,,,,
0.3,0.8592185002868746,,,,,,
0.3,0.9547808044906495,,,,,,
0.3,0.9303148617783095,,,,,,
