noise_level,phi_correlation,order2_correlation,order3_correlation,order4_correlation,order5_correlation,order6_correlation
0.05,0.9945905881301499,,,,,
0.05,0.9959108002252506,,,,,
0.05,0.9969900185082308,,,,,
0.05,0.995818640936399,,,,,
0.05,0.9969187177432275,,,,,
0.05,0.997845590108937,,,,,
0.05,0.996700529716793,,,,,
0.05,0.9961453466887804,,,,,
0.05,0.9956119159870093,,,,,
0.05,0.9941186252930606,,,,,
0.1,0.9791116070997248,,,,,
0.1,0.9843102883893667,,,,,
0.1,0.9942803742893082,,,,,
0.1,0.9740470839834581,,,,,
0.1,0.9953409098581253,,,,,
0.1,0.9807982617817781,,,,,
0.1,0.988591595390396,,,,,
0.1,0.9844781602578587,,,,,
0.1,0.9750845646233153,,,,,
0.1,0.9946147979222034,,,,,
0.2,0.9780548948463714,,,,,
0.2,0.8890746776653794,,,,,
0.2,0.944429620993559,,,,,
0.2,0.959370390439198,,,,,
0.2,0.950132895291658,,,,,
0.2,0.9536913753038018,,,,,
0.2,0.9459184517804705,,,,,
0.2,0.9686107678634579,,,,,
0.2,0.9568516817313063,,,,,
0.2,0.9319325415328411,,,,,
0.3,0.9094608066412571,,,,,
0.3,0.9094305119591276,,,,,
0.3,0.8545637149393909,,,,,
0.3,0.8169161011186317,,,,,
0.3,0.8756855412814578,,,,,
0.3,0.8487609377076102,,,,,
0.3,0.9478139856906358,,,,,
0.3,0.9165585189102254,,,,,
0.3,0.9486322943587511,,,,,
0.3,0.8861174754309334,,,,,
