noise_level,phi_correlation
0.05,0.999999985097638
0.05,0.9999989863946979
0.05,0.9999996966098875
0.05,0.9999999090132814
0.05,0.9999997392566851
0.05,0.9999995425491289
0.05,0.9999998846118741
0.05,0.9999996400816515
0.05,0.9999992363948913
0.05,0.9999994670304404
0.1,0.9999986669753866
0.1,0.999999159452957
0.1,0.9999994239759635
0.1,0.9999973378119467
0.1,0.9999957397123258
0.1,0.9999968035590526
0.1,0.9999928649377857
0.1,0.9999989941631063
0.1,0.9999921136944663
0.1,0.9999950610443018
0.2,0.9999907863461023
0.2,0.9999259472909319
0.2,0.9999856720770889
0.2,0.9999520332643121
0.2,0.9999569783454687
0.2,0.999967625100054
0.2,0.999999732869167
0.2,0.9999577421870346
0.2,0.9999742566347367
0.2,0.999986073327221
0.3,0.9993310613718884
0.3,0.9989216653031638
0.3,0.9994239651286498
0.3,0.9987463547836205
0.3,0.9987097111715637
0.3,0.9991895598370892
0.3,0.9994506173123303
0.3,0.9990738531548774
0.3,0.9986522226505073
0.3,0.9994201282012963
