,k_value,n_params,train_time,baseline_accuracy,noise_0.1,noise_0.2,noise_0.3,bootstrap_mean,bootstrap_std
1,1,8,0.13365960121154785,0.922782874617737,0.9212538226299694,0.9155963302752295,0.9068807339449542,0.9232695984703634,0.009051088848600558
2,2,29,0.36545562744140625,0.922782874617737,0.9204892966360856,0.913302752293578,0.9045871559633027,0.9226003824091777,0.008631696048631747
3,3,64,1.1317598819732666,0.922782874617737,0.9223241590214067,0.9136085626911316,0.9064220183486238,0.9197705544933078,0.00887576562143012
4,4,99,1.5881967544555664,0.922782874617737,0.9195718654434251,0.9163608562691132,0.9071865443425077,0.9218546845124282,0.008225820528393935
5,5,120,1.9102835655212402,0.922782874617737,0.9220183486238532,0.9139143730886851,0.9045871559633027,0.9221414913957935,0.008336958607582788
6,6,127,2.6163017749786377,0.922782874617737,0.9220183486238532,0.9157492354740062,0.9053516819571866,0.9243212237093691,0.0067880591323076205
7,7,128,2.443239212036133,0.922782874617737,0.9211009174311927,0.9178899082568808,0.9042813455657492,0.9221032504780113,0.00883944418714908
